Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LoginNegativeTestSuite,Firefox 89.0,Negative Test Suites,,2021-07-23 16:30:53,2021-07-23 16:44:31,13m - 38.508s,PASSED
,,,,,,,
Test Cases/RegisterAndLogin/Negative/TS-LGN-24-LoginWithUnregisteredEmailTestCase,Firefox 89.0,Login with Unregistered Email Test Case,login,2021-07-23 16:30:53,2021-07-23 16:31:51,58.060s,PASSED
com.helper.browserhelper.CustomBrowser.openBrowser(),Firefox 89.0,,,2021-07-23 16:30:54,2021-07-23 16:31:42,48.407s,PASSED
"setText(findTestObject(""LoginPage/input_sign in_email""), ""aaa@gmail.com"")",Firefox 89.0,,,2021-07-23 16:31:42,2021-07-23 16:31:44,1.561s,PASSED
"setText(findTestObject(""LoginPage/input_sign in_password""), ""abc"")",Firefox 89.0,,,2021-07-23 16:31:44,2021-07-23 16:31:45,0.973s,PASSED
"click(findTestObject(""LoginPage/button_login""))",Firefox 89.0,,,2021-07-23 16:31:45,2021-07-23 16:31:48,3.609s,PASSED
waitForPageLoad(Timeout),Firefox 89.0,,,2021-07-23 16:31:48,2021-07-23 16:31:49,0.171s,PASSED
com.helper.browserhelper.CustomBrowser.closeBrowser(),Firefox 89.0,,,2021-07-23 16:31:49,2021-07-23 16:31:51,2.664s,PASSED
,,,,,,,
Test Cases/RegisterAndLogin/Negative/TS-LGN-25-LoginWithWrongPasswordTestCase,Firefox 89.0,Login With Wrong Password,login,2021-07-23 16:31:51,2021-07-23 16:32:15,23.442s,PASSED
com.helper.browserhelper.CustomBrowser.openBrowser(),Firefox 89.0,,,2021-07-23 16:31:52,2021-07-23 16:32:08,15.789s,PASSED
"setText(findTestObject(""LoginPage/input_sign in_email""), LoginUsername)",Firefox 89.0,,,2021-07-23 16:32:08,2021-07-23 16:32:09,0.812s,PASSED
"setText(findTestObject(""LoginPage/input_sign in_password""), ""abc"")",Firefox 89.0,,,2021-07-23 16:32:09,2021-07-23 16:32:09,0.980s,PASSED
"click(findTestObject(""LoginPage/button_login""))",Firefox 89.0,,,2021-07-23 16:32:09,2021-07-23 16:32:12,2.125s,PASSED
waitForPageLoad(Timeout),Firefox 89.0,,,2021-07-23 16:32:12,2021-07-23 16:32:12,0.192s,PASSED
com.helper.browserhelper.CustomBrowser.closeBrowser(),Firefox 89.0,,,2021-07-23 16:32:12,2021-07-23 16:32:15,2.947s,PASSED
,,,,,,,
Test Cases/RegisterAndLogin/Negative/TS-LGN-12-RegisterWithWrongEmailFormatTestCase,Firefox 89.0,RegisterWithWrongEmailFormat,register,2021-07-23 16:32:15,2021-07-23 16:33:24,1m - 9.668s,PASSED
com.helper.browserhelper.CustomBrowser.openRegisterPage(),Firefox 89.0,,,2021-07-23 16:32:15,2021-07-23 16:33:10,54.240s,PASSED
waitForPageLoad(Timeout),Firefox 89.0,,,2021-07-23 16:33:10,2021-07-23 16:33:10,0.053s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_name""), ""aabbbccc"")",Firefox 89.0,,,2021-07-23 16:33:10,2021-07-23 16:33:13,3.048s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_email""), ""aaabc"")",Firefox 89.0,,,2021-07-23 16:33:13,2021-07-23 16:33:14,1.562s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_password""), ""aaabbb"")",Firefox 89.0,,,2021-07-23 16:33:14,2021-07-23 16:33:16,1.637s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_password_confirmation""), ""aaabbb"")",Firefox 89.0,,,2021-07-23 16:33:16,2021-07-23 16:33:17,1.055s,PASSED
"check(findTestObject(""RegisterPage/checkbox_agreement""))",Firefox 89.0,,,2021-07-23 16:33:17,2021-07-23 16:33:18,0.706s,PASSED
"click(findTestObject(""RegisterPage/button_register""))",Firefox 89.0,,,2021-07-23 16:33:18,2021-07-23 16:33:18,0.794s,PASSED
waitForPageLoad(Timeout),Firefox 89.0,,,2021-07-23 16:33:18,2021-07-23 16:33:18,0.042s,PASSED
delay(3),Firefox 89.0,,,2021-07-23 16:33:18,2021-07-23 16:33:21,3.058s,PASSED
com.helper.browserhelper.CustomBrowser.closeBrowser(),Firefox 89.0,,,2021-07-23 16:33:21,2021-07-23 16:33:24,2.940s,PASSED
,,,,,,,
Test Cases/RegisterAndLogin/Negative/TS-LGN-13-RegisterWithPasswordUnder6CharactersTestCase,Firefox 89.0,RegisterWithPasswordUnderSixCharacters,register,2021-07-23 16:33:24,2021-07-23 16:34:39,1m - 14.500s,PASSED
