Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RunAllTestCasesTestSuite,Firefox 89.0,,,2021-07-20 17:11:18,2021-07-20 17:28:03,16m - 45.123s,PASSED
,,,,,,,
Test Cases/RegisterAndLogin/Negative/TS-LGN-24-LoginWithUnregisteredEmailTestCase,Firefox 89.0,Login with Unregistered Email Test Case,login,2021-07-20 17:11:19,2021-07-20 17:11:56,37.228s,PASSED
com.helper.browserhelper.CustomBrowser.openBrowser(),Firefox 89.0,,,2021-07-20 17:11:19,2021-07-20 17:11:43,23.572s,PASSED
"setText(findTestObject(""LoginPage/input_sign in_email""), ""aaa@gmail.com"")",Firefox 89.0,,,2021-07-20 17:11:43,2021-07-20 17:11:44,1.517s,PASSED
"setText(findTestObject(""LoginPage/input_sign in_password""), ""abc"")",Firefox 89.0,,,2021-07-20 17:11:44,2021-07-20 17:11:45,0.922s,PASSED
"click(findTestObject(""LoginPage/button_login""))",Firefox 89.0,,,2021-07-20 17:11:45,2021-07-20 17:11:52,6.694s,PASSED
waitForPageLoad(Timeout),Firefox 89.0,,,2021-07-20 17:11:52,2021-07-20 17:11:52,0.049s,PASSED
com.helper.browserhelper.CustomBrowser.closeBrowser(),Firefox 89.0,,,2021-07-20 17:11:52,2021-07-20 17:11:56,3.922s,PASSED
,,,,,,,
Test Cases/RegisterAndLogin/Negative/TS-LGN-25-LoginWithWrongPasswordTestCase,Firefox 89.0,Login With Wrong Password,login,2021-07-20 17:11:56,2021-07-20 17:12:41,45.610s,PASSED
com.helper.browserhelper.CustomBrowser.openBrowser(),Firefox 89.0,,,2021-07-20 17:11:56,2021-07-20 17:12:34,38.092s,PASSED
"setText(findTestObject(""LoginPage/input_sign in_email""), LoginUsername)",Firefox 89.0,,,2021-07-20 17:12:34,2021-07-20 17:12:35,0.902s,PASSED
"setText(findTestObject(""LoginPage/input_sign in_password""), ""abc"")",Firefox 89.0,,,2021-07-20 17:12:35,2021-07-20 17:12:36,0.988s,PASSED
"click(findTestObject(""LoginPage/button_login""))",Firefox 89.0,,,2021-07-20 17:12:36,2021-07-20 17:12:39,3.218s,PASSED
waitForPageLoad(Timeout),Firefox 89.0,,,2021-07-20 17:12:39,2021-07-20 17:12:40,0.044s,PASSED
com.helper.browserhelper.CustomBrowser.closeBrowser(),Firefox 89.0,,,2021-07-20 17:12:40,2021-07-20 17:12:41,1.949s,PASSED
,,,,,,,
Test Cases/RegisterAndLogin/Positive/TS-LGN-4-LoginThroughTheAppTestCase,Firefox 89.0,LoginTestCase,login,2021-07-20 17:12:41,2021-07-20 17:13:09,27.974s,PASSED
openBrowser(LoginUrl),Firefox 89.0,,,2021-07-20 17:12:42,2021-07-20 17:12:57,14.689s,PASSED
waitForPageLoad(Timeout),Firefox 89.0,,,2021-07-20 17:12:57,2021-07-20 17:12:57,0.056s,PASSED
maximizeWindow(),Firefox 89.0,,,2021-07-20 17:12:57,2021-07-20 17:12:57,0.031s,PASSED
waitForPageLoad(Timeout),Firefox 89.0,,,2021-07-20 17:12:57,2021-07-20 17:12:57,0.044s,PASSED
"sendKeys(findTestObject(""LoginPage/input_sign in_email""), LoginUsername)",Firefox 89.0,,,2021-07-20 17:12:57,2021-07-20 17:12:57,0.542s,PASSED
"sendKeys(findTestObject(""LoginPage/input_sign in_password""), LoginPassword)",Firefox 89.0,,,2021-07-20 17:12:57,2021-07-20 17:12:58,0.413s,PASSED
"click(findTestObject(""LoginPage/button_login""))",Firefox 89.0,,,2021-07-20 17:12:58,2021-07-20 17:13:06,8.500s,PASSED
waitForPageLoad(Timeout),Firefox 89.0,,,2021-07-20 17:13:06,2021-07-20 17:13:06,0.141s,PASSED
closeBrowser(),Firefox 89.0,,,2021-07-20 17:13:06,2021-07-20 17:13:09,3.154s,PASSED
,,,,,,,
Test Cases/RegisterAndLogin/Negative/TS-LGN-20-RegisterWithEmailFieldEmptyTestCase,Firefox 89.0,"Register With Email Field Empty.
Expected: Display error message ""please fill out this field"" on the email field.",register,2021-07-20 17:13:09,2021-07-20 17:13:44,34.367s,PASSED
com.helper.browserhelper.CustomBrowser.openRegisterPage(),Firefox 89.0,,,2021-07-20 17:13:10,2021-07-20 17:13:30,20.219s,PASSED
waitForPageLoad(Timeout),Firefox 89.0,,,2021-07-20 17:13:30,2021-07-20 17:13:30,0.083s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_name""), ""aaa"")",Firefox 89.0,,,2021-07-20 17:13:30,2021-07-20 17:13:33,3.143s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_email""), """")",Firefox 89.0,,,2021-07-20 17:13:33,2021-07-20 17:13:34,0.950s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_password""), ""aaaaaa"")",Firefox 89.0,,,2021-07-20 17:13:34,2021-07-20 17:13:35,0.727s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_password_confirmation""), ""aaaaaa"")",Firefox 89.0,,,2021-07-20 17:13:35,2021-07-20 17:13:36,1.109s,PASSED
"check(findTestObject(""RegisterPage/checkbox_agreement""))",Firefox 89.0,,,2021-07-20 17:13:36,2021-07-20 17:13:37,0.750s,PASSED
"click(findTestObject(""RegisterPage/button_register""))",Firefox 89.0,,,2021-07-20 17:13:37,2021-07-20 17:13:38,0.949s,PASSED
waitForPageLoad(Timeout),Firefox 89.0,,,2021-07-20 17:13:38,2021-07-20 17:13:38,0.018s,PASSED
delay(3),Firefox 89.0,,,2021-07-20 17:13:38,2021-07-20 17:13:41,3.055s,PASSED
com.helper.browserhelper.CustomBrowser.closeBrowser(),Firefox 89.0,,,2021-07-20 17:13:41,2021-07-20 17:13:44,2.857s,PASSED
,,,,,,,
Test Cases/RegisterAndLogin/Negative/TS-LGN-15-RegisterWithInvalidNameFormatTestCase,Firefox 89.0,"Register With Invalid Name Format.
Expected: Display error message ""The name format is invalid"" below the Name field.",register,2021-07-20 17:13:44,2021-07-20 17:14:21,37.538s,PASSED
com.helper.browserhelper.CustomBrowser.openRegisterPage(),Firefox 89.0,,,2021-07-20 17:13:44,2021-07-20 17:14:05,20.986s,PASSED
waitForPageLoad(Timeout),Firefox 89.0,,,2021-07-20 17:14:05,2021-07-20 17:14:05,0.067s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_name""), ""@#$@#$"")",Firefox 89.0,,,2021-07-20 17:14:05,2021-07-20 17:14:07,1.368s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_email""), ""aaa@gmail.com"")",Firefox 89.0,,,2021-07-20 17:14:07,2021-07-20 17:14:08,0.926s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_password""), ""aaaaaa"")",Firefox 89.0,,,2021-07-20 17:14:08,2021-07-20 17:14:09,0.924s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_password_confirmation""), ""aaaaaa"")",Firefox 89.0,,,2021-07-20 17:14:09,2021-07-20 17:14:10,1.005s,PASSED
"check(findTestObject(""RegisterPage/checkbox_agreement""))",Firefox 89.0,,,2021-07-20 17:14:10,2021-07-20 17:14:10,0.740s,PASSED
"click(findTestObject(""RegisterPage/button_register""))",Firefox 89.0,,,2021-07-20 17:14:10,2021-07-20 17:14:15,4.695s,PASSED
waitForPageLoad(Timeout),Firefox 89.0,,,2021-07-20 17:14:15,2021-07-20 17:14:15,0.059s,PASSED
delay(3),Firefox 89.0,,,2021-07-20 17:14:15,2021-07-20 17:14:18,3.011s,PASSED
com.helper.browserhelper.CustomBrowser.closeBrowser(),Firefox 89.0,,,2021-07-20 17:14:18,2021-07-20 17:14:21,3.255s,PASSED
,,,,,,,
Test Cases/RegisterAndLogin/Negative/TS-LGN-19-RegisterWithNameFieldEmptyTestCase,Firefox 89.0,RegisterWithNameFieldEmpty,register,2021-07-20 17:14:21,2021-07-20 17:14:53,31.365s,PASSED
com.helper.browserhelper.CustomBrowser.openRegisterPage(),Firefox 89.0,,,2021-07-20 17:14:22,2021-07-20 17:14:42,20.369s,PASSED
waitForPageLoad(Timeout),Firefox 89.0,,,2021-07-20 17:14:42,2021-07-20 17:14:42,0.074s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_name""), """")",Firefox 89.0,,,2021-07-20 17:14:42,2021-07-20 17:14:43,1.055s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_email""), ""aaa@gmail.com"")",Firefox 89.0,,,2021-07-20 17:14:43,2021-07-20 17:14:44,0.808s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_password""), ""aaaaaa"")",Firefox 89.0,,,2021-07-20 17:14:44,2021-07-20 17:14:45,0.862s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_password_confirmation""), ""aaaaaa"")",Firefox 89.0,,,2021-07-20 17:14:45,2021-07-20 17:14:46,0.922s,PASSED
"check(findTestObject(""RegisterPage/checkbox_agreement""))",Firefox 89.0,,,2021-07-20 17:14:46,2021-07-20 17:14:47,0.661s,PASSED
"click(findTestObject(""RegisterPage/button_register""))",Firefox 89.0,,,2021-07-20 17:14:47,2021-07-20 17:14:47,0.654s,PASSED
waitForPageLoad(Timeout),Firefox 89.0,,,2021-07-20 17:14:47,2021-07-20 17:14:47,0.020s,PASSED
delay(3),Firefox 89.0,,,2021-07-20 17:14:47,2021-07-20 17:14:50,3.013s,PASSED
com.helper.browserhelper.CustomBrowser.closeBrowser(),Firefox 89.0,,,2021-07-20 17:14:50,2021-07-20 17:14:53,2.559s,PASSED
,,,,,,,
Test Cases/RegisterAndLogin/Negative/TS-LGN-14-RegisterWithNameUnder3CharactersTestCase,Firefox 89.0,RegisterWithNameUnder3CharactersTestCase,register,2021-07-20 17:14:53,2021-07-20 17:15:30,37.460s,PASSED
com.helper.browserhelper.CustomBrowser.openRegisterPage(),Firefox 89.0,,,2021-07-20 17:14:53,2021-07-20 17:15:15,21.750s,PASSED
waitForPageLoad(Timeout),Firefox 89.0,,,2021-07-20 17:15:15,2021-07-20 17:15:15,0.069s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_name""), ""aa"")",Firefox 89.0,,,2021-07-20 17:15:15,2021-07-20 17:15:16,0.910s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_email""), ""aaa@gmail.com"")",Firefox 89.0,,,2021-07-20 17:15:16,2021-07-20 17:15:17,0.887s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_password""), ""aaaaaa"")",Firefox 89.0,,,2021-07-20 17:15:17,2021-07-20 17:15:18,0.839s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_password_confirmation""), ""aaaaaa"")",Firefox 89.0,,,2021-07-20 17:15:18,2021-07-20 17:15:19,0.936s,PASSED
"check(findTestObject(""RegisterPage/checkbox_agreement""))",Firefox 89.0,,,2021-07-20 17:15:19,2021-07-20 17:15:19,0.685s,PASSED
"click(findTestObject(""RegisterPage/button_register""))",Firefox 89.0,,,2021-07-20 17:15:19,2021-07-20 17:15:24,4.383s,PASSED
waitForPageLoad(Timeout),Firefox 89.0,,,2021-07-20 17:15:24,2021-07-20 17:15:24,0.037s,PASSED
delay(3),Firefox 89.0,,,2021-07-20 17:15:24,2021-07-20 17:15:27,3.016s,PASSED
com.helper.browserhelper.CustomBrowser.closeBrowser(),Firefox 89.0,,,2021-07-20 17:15:27,2021-07-20 17:15:30,3.463s,PASSED
,,,,,,,
Test Cases/RegisterAndLogin/Negative/TS-LGN-17-RegisterWithNotMatchingPasswordConfirmTestCase,Firefox 89.0,RegisterWithNotMatchingPasswordConfirmTestCase,register,2021-07-20 17:15:30,2021-07-20 17:16:09,38.703s,PASSED
com.helper.browserhelper.CustomBrowser.openRegisterPage(),Firefox 89.0,,,2021-07-20 17:15:31,2021-07-20 17:15:53,22.099s,PASSED
waitForPageLoad(Timeout),Firefox 89.0,,,2021-07-20 17:15:53,2021-07-20 17:15:53,0.065s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_name""), ""aabbbccc"")",Firefox 89.0,,,2021-07-20 17:15:53,2021-07-20 17:15:54,1.164s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_email""), ""aaa@gmail.com"")",Firefox 89.0,,,2021-07-20 17:15:54,2021-07-20 17:15:55,0.887s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_password""), ""aaaaaa"")",Firefox 89.0,,,2021-07-20 17:15:55,2021-07-20 17:15:56,0.929s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_password_confirmation""), ""aaabbb"")",Firefox 89.0,,,2021-07-20 17:15:56,2021-07-20 17:15:57,0.929s,PASSED
"check(findTestObject(""RegisterPage/checkbox_agreement""))",Firefox 89.0,,,2021-07-20 17:15:57,2021-07-20 17:15:57,0.671s,PASSED
"click(findTestObject(""RegisterPage/button_register""))",Firefox 89.0,,,2021-07-20 17:15:57,2021-07-20 17:16:02,4.576s,PASSED
waitForPageLoad(Timeout),Firefox 89.0,,,2021-07-20 17:16:02,2021-07-20 17:16:02,0.036s,PASSED
delay(3),Firefox 89.0,,,2021-07-20 17:16:02,2021-07-20 17:16:05,3.013s,PASSED
com.helper.browserhelper.CustomBrowser.closeBrowser(),Firefox 89.0,,,2021-07-20 17:16:05,2021-07-20 17:16:09,3.963s,PASSED
,,,,,,,
Test Cases/RegisterAndLogin/Negative/TS-LGN-16-RegisterWithoutAcceptingToSTestCase,Firefox 89.0,RegisterWithoutAcceptingToSTestCase,register,2021-07-20 17:16:09,2021-07-20 17:16:56,47.384s,PASSED
com.helper.browserhelper.CustomBrowser.openRegisterPage(),Firefox 89.0,,,2021-07-20 17:16:09,2021-07-20 17:16:44,35.003s,PASSED
waitForPageLoad(Timeout),Firefox 89.0,,,2021-07-20 17:16:44,2021-07-20 17:16:44,0.096s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_name""), ""aabbbccc"")",Firefox 89.0,,,2021-07-20 17:16:44,2021-07-20 17:16:46,1.104s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_email""), ""aaa@gmail.com"")",Firefox 89.0,,,2021-07-20 17:16:46,2021-07-20 17:16:47,0.978s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_password""), ""aaaaaa"")",Firefox 89.0,,,2021-07-20 17:16:47,2021-07-20 17:16:47,0.972s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_password_confirmation""), ""aaaaaa"")",Firefox 89.0,,,2021-07-20 17:16:47,2021-07-20 17:16:48,0.930s,PASSED
"click(findTestObject(""RegisterPage/button_register""))",Firefox 89.0,,,2021-07-20 17:16:48,2021-07-20 17:16:49,0.623s,PASSED
waitForPageLoad(Timeout),Firefox 89.0,,,2021-07-20 17:16:49,2021-07-20 17:16:49,0.019s,PASSED
delay(3),Firefox 89.0,,,2021-07-20 17:16:49,2021-07-20 17:16:52,3.012s,PASSED
com.helper.browserhelper.CustomBrowser.closeBrowser(),Firefox 89.0,,,2021-07-20 17:16:52,2021-07-20 17:16:56,4.250s,PASSED
,,,,,,,
Test Cases/RegisterAndLogin/Negative/TS-LGN-18-RegisterWithoutFillingPasswordConfFieldTestCase,Firefox 89.0,RegisterWithoutFillingPasswordConfField,register,2021-07-20 17:16:56,2021-07-20 17:17:26,30.085s,PASSED
com.helper.browserhelper.CustomBrowser.openRegisterPage(),Firefox 89.0,,,2021-07-20 17:16:57,2021-07-20 17:17:17,20.202s,PASSED
waitForPageLoad(Timeout),Firefox 89.0,,,2021-07-20 17:17:17,2021-07-20 17:17:17,0.033s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_name""), ""aabbbccc"")",Firefox 89.0,,,2021-07-20 17:17:17,2021-07-20 17:17:18,0.725s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_email""), ""aaa@gmail.com"")",Firefox 89.0,,,2021-07-20 17:17:18,2021-07-20 17:17:19,0.921s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_password""), ""aaaaaa"")",Firefox 89.0,,,2021-07-20 17:17:19,2021-07-20 17:17:20,0.889s,PASSED
"check(findTestObject(""RegisterPage/checkbox_agreement""))",Firefox 89.0,,,2021-07-20 17:17:20,2021-07-20 17:17:20,0.667s,PASSED
"click(findTestObject(""RegisterPage/button_register""))",Firefox 89.0,,,2021-07-20 17:17:20,2021-07-20 17:17:21,0.595s,PASSED
waitForPageLoad(Timeout),Firefox 89.0,,,2021-07-20 17:17:21,2021-07-20 17:17:21,0.019s,PASSED
delay(3),Firefox 89.0,,,2021-07-20 17:17:21,2021-07-20 17:17:24,3.008s,PASSED
com.helper.browserhelper.CustomBrowser.closeBrowser(),Firefox 89.0,,,2021-07-20 17:17:24,2021-07-20 17:17:26,2.530s,PASSED
,,,,,,,
Test Cases/RegisterAndLogin/Negative/TS-LGN-21-RegisterWithPasswordFieldEmptyTestCase,Firefox 89.0,RegisterWithPasswordFieldEmpty,register,2021-07-20 17:17:26,2021-07-20 17:17:52,26.068s,PASSED
com.helper.browserhelper.CustomBrowser.openRegisterPage(),Firefox 89.0,,,2021-07-20 17:17:27,2021-07-20 17:17:43,16.083s,PASSED
waitForPageLoad(Timeout),Firefox 89.0,,,2021-07-20 17:17:43,2021-07-20 17:17:43,0.081s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_name""), ""aabbbccc"")",Firefox 89.0,,,2021-07-20 17:17:43,2021-07-20 17:17:44,1.252s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_email""), ""aaa@gmail.com"")",Firefox 89.0,,,2021-07-20 17:17:44,2021-07-20 17:17:45,0.976s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_password_confirmation""), ""aaaaaa"")",Firefox 89.0,,,2021-07-20 17:17:45,2021-07-20 17:17:46,0.875s,PASSED
"check(findTestObject(""RegisterPage/checkbox_agreement""))",Firefox 89.0,,,2021-07-20 17:17:46,2021-07-20 17:17:47,0.623s,PASSED
"click(findTestObject(""RegisterPage/button_register""))",Firefox 89.0,,,2021-07-20 17:17:47,2021-07-20 17:17:47,0.639s,PASSED
waitForPageLoad(Timeout),Firefox 89.0,,,2021-07-20 17:17:47,2021-07-20 17:17:47,0.031s,PASSED
delay(3),Firefox 89.0,,,2021-07-20 17:17:47,2021-07-20 17:17:50,3.014s,PASSED
com.helper.browserhelper.CustomBrowser.closeBrowser(),Firefox 89.0,,,2021-07-20 17:17:50,2021-07-20 17:17:52,2.118s,PASSED
,,,,,,,
Test Cases/RegisterAndLogin/Negative/TS-LGN-13-RegisterWithPasswordUnder6CharactersTestCase,Firefox 89.0,RegisterWithPasswordUnderSixCharacters,register,2021-07-20 17:17:53,2021-07-20 17:18:29,36.365s,PASSED
com.helper.browserhelper.CustomBrowser.openRegisterPage(),Firefox 89.0,,,2021-07-20 17:17:53,2021-07-20 17:18:14,21.289s,PASSED
waitForPageLoad(Timeout),Firefox 89.0,,,2021-07-20 17:18:14,2021-07-20 17:18:14,0.036s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_name""), ""aabbbccc"")",Firefox 89.0,,,2021-07-20 17:18:14,2021-07-20 17:18:16,1.346s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_email""), ""aaa@gmail.com"")",Firefox 89.0,,,2021-07-20 17:18:16,2021-07-20 17:18:16,0.900s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_password""), ""aaa"")",Firefox 89.0,,,2021-07-20 17:18:16,2021-07-20 17:18:17,0.909s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_password_confirmation""), ""aaa"")",Firefox 89.0,,,2021-07-20 17:18:17,2021-07-20 17:18:18,0.968s,PASSED
"check(findTestObject(""RegisterPage/checkbox_agreement""))",Firefox 89.0,,,2021-07-20 17:18:18,2021-07-20 17:18:19,0.632s,PASSED
"click(findTestObject(""RegisterPage/button_register""))",Firefox 89.0,,,2021-07-20 17:18:19,2021-07-20 17:18:24,4.561s,PASSED
waitForPageLoad(Timeout),Firefox 89.0,,,2021-07-20 17:18:24,2021-07-20 17:18:24,0.076s,PASSED
delay(3),Firefox 89.0,,,2021-07-20 17:18:24,2021-07-20 17:18:27,3.017s,PASSED
com.helper.browserhelper.CustomBrowser.closeBrowser(),Firefox 89.0,,,2021-07-20 17:18:27,2021-07-20 17:18:29,2.238s,PASSED
,,,,,,,
Test Cases/RegisterAndLogin/Negative/TS-LGN-12-RegisterWithWrongEmailFormatTestCase,Firefox 89.0,RegisterWithWrongEmailFormat,register,2021-07-20 17:18:29,2021-07-20 17:19:02,32.688s,PASSED
com.helper.browserhelper.CustomBrowser.openRegisterPage(),Firefox 89.0,,,2021-07-20 17:18:29,2021-07-20 17:18:48,18.642s,PASSED
waitForPageLoad(Timeout),Firefox 89.0,,,2021-07-20 17:18:48,2021-07-20 17:18:48,0.034s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_name""), ""aabbbccc"")",Firefox 89.0,,,2021-07-20 17:18:48,2021-07-20 17:18:50,2.330s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_email""), ""aaabc"")",Firefox 89.0,,,2021-07-20 17:18:50,2021-07-20 17:18:51,0.884s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_password""), ""aaabbb"")",Firefox 89.0,,,2021-07-20 17:18:51,2021-07-20 17:18:52,0.889s,PASSED
"setText(findTestObject(""RegisterPage/input_signup_password_confirmation""), ""aaabbb"")",Firefox 89.0,,,2021-07-20 17:18:52,2021-07-20 17:18:53,0.920s,PASSED
"check(findTestObject(""RegisterPage/checkbox_agreement""))",Firefox 89.0,,,2021-07-20 17:18:53,2021-07-20 17:18:54,0.673s,PASSED
"click(findTestObject(""RegisterPage/button_register""))",Firefox 89.0,,,2021-07-20 17:18:54,2021-07-20 17:18:54,0.661s,PASSED
waitForPageLoad(Timeout),Firefox 89.0,,,2021-07-20 17:18:54,2021-07-20 17:18:54,0.034s,PASSED
delay(3),Firefox 89.0,,,2021-07-20 17:18:54,2021-07-20 17:18:57,3.006s,PASSED
com.helper.browserhelper.CustomBrowser.closeBrowser(),Firefox 89.0,,,2021-07-20 17:18:57,2021-07-20 17:19:02,4.153s,PASSED
,,,,,,,
